產業類別,公司代號,公司名稱,員工薪資總額(仟元),員工人數-加權平均(人),員工薪資-平均數(仟元/人),每股盈餘(元/股),同業公司員工薪資-平均數(仟元/人),同業公司平均每股盈餘(元/股),非經理人之全時員工薪資平均數未達50萬元,公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少,公司經營績效與員工薪酬之關聯性及合理性說明
半導體業,2454,聯發科,"16,650,764","6,155","2,705",13.26,"1,228",7.24,,,,
半導體業,3034,聯詠,"5,133,164","2,019","2,542",10.5,"1,228",7.24,,,,
其他電子業,2354,鴻準,"393,140",160,"2,457",6.47,"1,179",7.41,,,,
其他電子業,2317,鴻海,"9,393,585","4,166","2,255",8.03,"1,179",7.41,,,,
半導體業,3443,創意電子,"1,129,362",513,"2,201",7.37,"1,228",7.24,,,,
半導體業,2330,台積電,"85,597,728","42,605","2,009",13.54,"1,228",7.24,,,,
汽車工業,2207,和泰汽車,"1,028,591",516,"1,993",18.36,707,5.02,,,,
半導體業,2379,瑞昱,"6,688,866","3,356","1,993",8.57,"1,228",7.24,,,,
半導體業,5269,祥碩科技,"382,550",208,"1,839",15.93,"1,228",7.24,,,,
半導體業,3006,晶豪科技,"737,149",401,"1,838",2.52,"1,228",7.24,,,,
半導體業,8016,矽創電子,"654,882",364,"1,799",7.03,"1,228",7.24,,,,
半導體業,2408,南亞科,"4,966,035","2,769","1,793",12.8,"1,228",7.24,,,,
半導體業,4952,凌通科技,"385,026",219,"1,758",2.61,"1,228",7.24,,,,
半導體業,2344,華邦電,"4,614,619","2,631","1,754",1.87,"1,228",7.24,,,,
半導體業,3014,聯陽,"719,990",414,"1,739",3.08,"1,228",7.24,,,,
半導體業,3530,晶相光,"77,930",46,"1,694",2.17,"1,228",7.24,,,,
鋼鐵工業,2002,中鋼,"16,994,213","10,287","1,652",1.58,"1,115",1.57,,,,
半導體業,3041,揚智,"365,956",223,"1,641",-2.58,"1,228",7.24,,,,
塑膠工業,1310,台苯,"313,193",191,"1,640",2.3,"1,249",5.5,,,,
半導體業,3035,智原,"938,275",574,"1,635",1.06,"1,228",7.24,,,,
半導體業,3545,敦泰,"587,040",362,"1,622",-8.66,"1,228",7.24,,,,
電腦及週邊設備業,3005,神基科技,"810,765",505,"1,605",3.83,"1,200",2.73,,,,
電腦及週邊設備業,2353,宏碁,"2,463,666","1,536","1,604",1.01,"1,200",2.73,,,,
半導體業,8081,致新,"495,118",310,"1,597",5.53,"1,228",7.24,,,,
半導體業,6531,愛普,"178,181",112,"1,591",1.55,"1,228",7.24,,,,
半導體業,2458,義隆,"1,368,397",881,"1,553",4.16,"1,228",7.24,,,,
航運業,2610,華航,"16,636,506","10,822","1,537",0.33,"1,149",0.62,,,,
光電業,3563,牧德,"278,968",183,"1,524",30.43,816,1.04,,,,
航運業,2618,長榮航空,"12,761,648","8,393","1,521",1.5,"1,149",0.62,,,,
光電業,5234,達興材料,"487,852",321,"1,520",6.38,816,1.04,,,,
電腦及週邊設備業,8163,達方電子,"1,021,569",682,"1,498",5.43,"1,200",2.73,,,,
電腦及週邊設備業,2382,廣達,"8,464,082","5,660","1,495",3.92,"1,200",2.73,,,,
電子零組件業,2328,廣宇,"77,692",52,"1,494",2.29,785,5.37,,,,
通信網路業,2412,中華電,"32,824,350","21,981","1,493",4.58,"1,123",2.93,,,,
電子零組件業,2385,群光電子,"970,198",652,"1,488",5.22,785,5.37,,,,
電子零組件業,2308,台達電,"9,890,689","6,662","1,485",7,785,5.37,,,,
通信網路業,3596,智易科技,"822,140",555,"1,481",4.61,"1,123",2.93,,,,
塑膠工業,1312,國喬石化,"534,751",367,"1,457",3.26,"1,249",5.5,,,,
建材營造,5525,順天建設,"64,094",44,"1,457",4.31,783,1.81,,,,
金融保險業,2820,華票,"186,180",128,"1,455",0.99,"1,155",1.65,,,,
半導體業,2337,旺宏,"5,504,926","3,802","1,448",4.94,"1,228",7.24,,,,
半導體業,6202,盛群,"512,515",354,"1,448",4.7,"1,228",7.24,,,,
電子零組件業,8213,志超,"536,268",372,"1,442",4.38,785,5.37,,,,
金融保險業,2886,兆豐金,"10,098,679","7,008","1,441",2.07,"1,155",1.65,,,,
半導體業,2401,凌陽科技,"377,426",264,"1,430",0.01,"1,228",7.24,,,,
電子零組件業,4915,致伸,"1,170,740",820,"1,428",4.12,785,5.37,,,,
其他,2348,海悅,"108,299",76,"1,425",5.39,780,3.69,,,,
其他,9930,中聯資源,"328,759",231,"1,423",3.36,780,3.69,,,,
油電燃氣業,6505,台塑石化,"7,312,109","5,166","1,415",6.31,"1,170",5.48,,,,
半導體業,4961,天鈺,"509,188",361,"1,410",2.43,"1,228",7.24,,,,
塑膠工業,1301,台塑,"8,425,615","5,991","1,406",7.78,"1,249",5.5,,,,
電子零組件業,8249,菱光科技,"96,259",69,"1,395",1.62,785,5.37,,,,
